9.603	9.5787	10.283	8.9135	9.6178	9.9445	8.9286	9.6181	9.2676	9.6033	9.9566	9.6161	9.2674	10.298	9.6183	9.2686	9.9318	9.9313	9.2669	9.6163	9.6158	9.2529	8.901	9.5915	9.2557	10.271	9.5908	9.2403	9.2535	8.5628	8.5559	9.2401	9.9381	9.9447	9.2403	10.634	9.5969	9.9364	9.2458	9.6015	8.9048	9.9372	9.5976	9.6013	9.5968	9.9361	9.9393	9.9387	9.9381	9.5975	9.5997	9.6002	8.5606	8.9339	9.5997	8.933	9.6225	9.5981	9.9613	10.301	9.6234	9.2738	9.6173	9.2731	8.5825	9.2659	9.2717	8.9251	9.9547	9.9542	9.2674	9.574	8.5213	9.5607	9.1962	9.1956	8.855	9.5581	9.2076	9.8969	8.5063	9.2101	8.5196	10.239	9.2083	8.5415	9.5433	10.586	8.5397	9.919	9.9225	9.2321	9.2315	9.2308	8.8901
9.8154	10.171	9.8145	10.17	9.8153	10.19	10.19	9.8167	9.1502	9.8157	9.499	9.8385	9.5118	9.8391	9.8396	9.84	9.1604	9.5137	9.1731	10.543	9.8382	9.5115	9.4971	9.8265	9.8531	9.8536	9.4994	10.203	9.8258	10.201	8.8207	10.514	9.8255	10.176	9.5124	9.8523	10.515	9.8249	9.8582	10.208	9.8571	9.8564	9.1786	10.209	9.8591	9.1783	9.8578	10.207	9.8565	9.4898	10.519	9.8287	10.182	9.8321	10.182	9.8313	9.8307	10.18	9.8235	9.8291	10.186	10.175	8.8014	10.189	9.4986	11.204	9.4977	9.8372	10.513	9.8364	9.8221	9.8158	9.4755	10.169	9.4784	9.8178	10.167	9.8165	9.8335	10.855	10.165	9.8178	10.862	9.8348	9.8343	9.4936	9.153	9.8324	9.8318	10.167	9.8306	9.8338	9.8336	10.183	9.8461
10.175	10.871	10.174	10.864	10.174	10.198	10.175	10.199	10.216	10.549	9.8493	9.8344	10.174	10.547	10.548	10.549	9.1692	10.55	10.193	9.8584	10.542	10.191	9.8743	10.896	9.8949	9.8524	10.566	9.8522	10.542	10.905	10.19	10.213	9.8728	10.584	10.589	10.879	10.565	9.8744	11.254	9.8472	9.8727	9.522	10.211	9.8737	10.538	10.206	9.4972	9.8604	10.89	9.8453	10.875	10.184	10.221	10.201	11.581	10.201	10.2	10.913	10.223	10.912	10.926	10.911	11.604	11.264	9.8841	10.567	10.573	9.8766	11.256	10.216	10.215	10.575	10.915	10.918	10.228	9.8911	10.917	10.916	10.579	11.269	10.918	10.224	10.581	10.921	11.27	10.919	11.609	10.602	10.227	10.941	10.916	10.249	9.9127	10.602	10.252
11.15	11.149	10.415	11.149	10.458	10.809	10.81	11.15	10.461	11.49	10.794	11.133	10.809	10.808	10.485	10.127	9.4137	9.4142	9.754	10.127	10.103	11.846	11.472	9.0849	10.103	10.111	11.497	10.467	9.7764	10.466	10.465	10.125	10.448	11.154	10.144	10.82	11.156	10.449	10.463	10.798	10.811	10.107	10.46	11.149	10.462	10.812	10.806	10.115	11.144	10.12	10.803	10.459	9.786	11.485	11.145	11.145	10.805	11.144	11.484	11.167	11.166	10.112	10.825	10.828	10.479	10.828	10.478	10.811	9.7707	10.81	10.476	9.7494	10.425	10.442	11.133	10.456	10.791	11.471	10.79	11.143	10.439	10.802	11.141	10.469	10.805	10.804	10.803	10.816	10.802	10.451	10.465	10.464	10.463	11.157	10.126
11.572	11.921	10.541	11.564	10.874	12.255	10.875	11.566	11.566	11.566	10.195	10.209	10.548	11.577	11.927	11.951	9.5428	11.24	10.196	10.889	11.238	11.232	11.237	11.57	10.224	11.232	11.922	10.883	11.232	11.215	10.881	11.214	10.863	11.213	10.891	11.935	11.579	10.548	11.214	11.553	11.213	11.576	10.861	11.235	10.911	10.547	9.8572	10.887	10.91	11.235	10.885	10.908	11.597	12.287	11.26	11.6	11.243	10.909	11.599	10.908	10.568	10.891	11.58	11.933	11.244	11.583	11.583	11.582	11.242	11.242	10.875	10.201	11.57	11.577	11.928	9.8571	11.577	11.926	11.575	11.239	10.544	10.887	10.887	11.24	11.24	10.889	11.239	11.602	11.237	10.91	10.886	11.575	10.569	11.262	11.262
11.794	11.454	11.817	11.817	11.126	10.074	11.478	11.818	11.479	11.112	11.478	10.788	11.127	11.126	11.11	10.448	10.795	10.422	10.772	11.462	12.141	10.771	10.414	11.459	11.104	11.818	12.135	11.105	11.118	11.794	10.763	11.103	11.792	10.775	11.467	12.148	11.468	11.117	10.776	11.809	10.089	11.118	11.114	11.117	10.779	11.81	11.809	11.809	12.148	11.468	11.481	10.79	10.439	12.159	10.792	11.482	12.162	11.481	11.821	11.48	11.503	12.183	12.532	12.185	10.816	11.156	12.185	10.815	11.844	11.844	11.503	10.836	11.866	11.529	11.529	11.529	12.209	11.178	12.208	11.867	11.526	11.889	11.549	11.892	12.582	12.231	11.201	12.58	12.229	11.532	11.198	10.858	12.561	11.184	12.564
11.732	10.725	11.754	11.074	11.754	11.415	11.416	11.416	12.107	10.69	11.415	11.415	11.718	11.414	12.408	12.088	11.719	10.35	11.379	11.379	11.378	11.378	11.377	11.36	12.392	11.702	12.052	11.362	12.051	12.051	11.044	11.383	11.382	10.352	11.044	12.415	11.385	12.074	11.043	12.073	10.686	11.375	12.404	11.714	13.097	11.06	12.406	11.716	12.065	11.738	11.397	12.403	12.086	11.399	12.089	12.429	11.738	12.088	12.087	12.78	11.056	11.736	12.779	12.782	12.093	12.092	11.742	11.401	11.401	11.734	11.733	11.393	10.702	11.396	12.426	12.775	11.055	11.054	11.394	12.424	12.077	11.726	11.389	12.769	11.388	11.728	11.047	11.07	11.726	11.409	11.045	11.748	12.441	11.071	12.44
11.463	12.153	11.462	11.802	11.456	11.457	11.458	12.148	11.108	10.781	11.81	11.81	11.809	12.16	12.5	10.781	11.811	11.811	11.47	11.803	11.809	12.159	12.492	12.493	12.154	13.184	11.464	12.153	12.493	12.492	12.151	11.111	12.15	11.809	10.771	11.446	11.446	11.445	12.134	11.094	12.133	11.796	11.105	11.798	11.798	12.148	12.147	12.486	11.449	11.105	12.144	12.137	12.137	11.45	11.79	9.7571	12.479	11.482	12.138	11.787	10.79	11.82	12.173	11.823	11.823	11.823	11.822	11.482	12.511	10.444	11.13	12.913	11.537	11.537	11.876	12.566	11.875	11.218	11.218	11.874	13.287	12.256	12.26	12.983	12.975	12.598	12.598	11.907	11.906	11.906	12.949	12.944	12.262	11.911	10.88
11.146	11.835	11.798	11.8	11.46	11.461	12.172	12.831	10.421	11.8	11.459	12.149	12.152	12.153	12.154	13.184	11.804	12.834	12.493	12.832	11.802	12.175	12.856	12.177	12.857	11.827	11.136	11.826	11.485	11.468	12.514	11.806	11.809	12.499	12.499	11.139	12.158	12.497	12.497	11.466	12.148	11.798	11.467	12.491	12.15	12.83	12.149	11.798	12.531	11.84	11.84	10.459	12.532	12.532	12.872	12.55	12.531	11.84	11.813	12.162	12.162	11.815	11.815	13.195	12.845	11.814	11.814	11.813	11.473	12.162	11.815	11.858	11.859	11.858	12.548	12.207	13.237	12.546	10.826	12.549	11.858	12.212	13.242	10.874	12.573	11.86	12.549	11.519	11.168	12.547	12.19	11.844	12.533	12.193	12.192
11.939	11.94	12.28	12.631	12.281	11.622	11.628	11.953	10.926	9.5867	10.952	13.014	12.674	12.675	12.675	12.324	12.674	11.983	12.323	12.325	11.985	11.647	11.647	12.695	12.327	11.986	13.016	11.985	11.294	11.984	12.326	11.989	10.609	10.959	11.988	12.005	12.014	11.986	11.639	11.985	11.98	10.95	12.671	13.36	12.669	13.009	12.668	11.637	11.98	10.949	11.982	12.322	11.982	13.361	11.981	11.98	10.949	11.979	12.331	11.651	13.374	12.684	11.994	13.373	11.993	13.373	10.962	10.612	11.985	11.984	11.298	11.667	12.347	10.976	12.696	12.346	12.345	10.975	12.697	12.011	12.701	13.04	12.35	12.01	13.389	11.668	12.348	11.667	12.696	11.673	12.353	12.352	12.011	12.701	12.35
